,,,,B=200,,B=400,
Response,n,m,CL,CP,AW,CP,AW
gaussian,60,10,95,0.82,2.82,0.82,2.45
gaussian,60,10,90,0.81,1.67,0.82,1.39
gaussian,90,15,95,0.88,0.58,0.92,0.52
gaussian,90,15,90,0.84,0.35,0.92,0.19
binomial,50,10,95,0.59,2.79,0.6,2.74
binomial,50,10,90,0.5,2.07,0.55,1.94
binomial,50,20,95,0.72,1.66,0.8,1.53
binomial,50,20,90,0.63,1.28,0.74,1.1
binomial,50,30,95,0.89,0.5,0.91,0.58
binomial,50,30,90,0.86,0.38,0.84,0.39
binomial,80,30,95,0.93,0.31,0.96,0.35
binomial,80,30,90,0.9,0.19,0.87,0.19